Case ID,FG_massflow(kg/h),FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_massflow(kg/h),LA_temp(C)_i,WWT_flowrate(kg/h),WWB_flowrate(kg/h),RA_to_Reg_temp_i,Reb_duty(kJ/h),LA_cool_duty(kJ/h),WWT_cool_duty(kJ/h),WWT_cool_duty2(kJ/h),MEA_emission_ppm(mass_ratio),CO2_massflow_offgas(kg/h),MEA_emission(kg/h),FG_flowrate(Sm3/h),L/G (kg/kg)_i,L/G (kg/Sm3),Lean_loading(mol/mol)_i,Cap_co2(kg/h),Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_flowrate(kg/h),RA_temp_after_abs_o,Reb_duty(KJ/h),Cond_duty(kJ/h),SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,Co2_prod_flowrate(kg/h),Reg_bttm_temp,Reg_bttm_flowrate(kg/h),LA_temp_after_HE_,HE_left_min_apprch_i,HE_right_min_apprch,LMTD,MEA_mkp(kg/h),Abs_ht(m)_i,SLAD(MJ/kgco2)_o,FG_co2_cons(%mol)
Case#958,72070,0.036,35,81200,30,55000,55010,104.5,10000000,1540000,1445000,2394000,0.1366,1065,1.37E-07,59410,1.127,1.367,0.325,2916,73.25,0.4907,83610,32.61,10000000,3667000,3.429,1.257,0.9843,2929,116.2,80680,35.96,3.346,11.66,6.661,0,24,0.528120713,3.6
Case#959,72070,0.036,35,81200,30,55000,55010,104.5,15000000,4028000,1796000,2873000,0.2745,129.6,2.75E-07,59410,1.127,1.367,0.2581,3851,96.74,0.4779,84410,35.12,15000000,4932000,3.895,1.281,0.9853,3882,119.5,80520,45.06,9.935,15,12.29,1.106,24,1.045962088,3.6
Case#960,72070,0.036,35,81200,30,55000,55010,104.5,20000000,7853000,1594000,2616000,0.3228,39.82,3.23E-07,59410,1.127,1.367,0.192,3941,99,0.417,84590,38.54,20000000,6748000,5.075,1.712,0.9857,3973,121.5,80620,58.25,19.7,17,18.32,3.514,24,1.992641462,3.6
Case#961,72070,0.036,35,81200,30,55000,55010,104.5,25000000,8638000,1520000,2518000,0.3516,25.03,3.52E-07,59410,1.127,1.367,0.1529,3956,99.37,0.3787,84640,39.45,25000000,11190000,6.32,2.829,0.9859,3995,122.3,80650,60.49,21.04,17.77,19.36,4.866,24,2.183518706,3.6
Case#962,72070,0.036,35,81200,30,55000,55010,104.5,30000000,9016000,1479000,2464000,0.3688,19.5,3.69E-07,59410,1.127,1.367,0.1293,3961,99.51,0.3555,84670,39.88,30000000,15960000,7.573,4.028,0.9861,3995,122.6,80670,61.49,21.61,18.12,19.81,5.666,24,2.276192881,3.6
Case#963,72070,0.036,35,81200,30,55000,55010,106,15000000,3471000,1761000,2829000,0.2798,105.1,2.80E-07,59410,1.127,1.367,0.2507,3876,97.36,0.4719,84450,35.84,15000000,5589000,3.87,1.442,0.9854,3911,119.8,80540,42.95,7.104,13.79,10.08,1.386,24,0.895510836,3.6
Case#964,72070,0.036,35,81200,30,55000,55010,106,20000000,7382000,1590000,2611000,0.3246,38.7,3.25E-07,59410,1.127,1.367,0.1902,3942,99.03,0.4153,84600,38.59,20000000,7226000,5.073,1.833,0.9857,3974,121.5,80620,56.57,17.97,15.54,16.73,3.539,24,1.872653475,3.6
Case#965,72070,0.036,35,81200,30,55000,55010,106,25000000,8171000,1519000,2517000,0.3524,24.67,3.52E-07,59410,1.127,1.367,0.1523,3956,99.38,0.3782,84640,39.46,25000000,11660000,6.319,2.946,0.986,3994,122.3,80650,58.87,19.41,16.28,17.8,4.85,24,2.065470172,3.6
Case#966,72070,0.036,35,81200,30,55000,55010,106,30000000,8546000,1479000,2464000,0.3694,19.25,3.69E-07,59410,1.127,1.367,0.129,3962,99.52,0.3552,84670,39.89,30000000,16420000,7.573,4.146,0.9861,3995,122.6,80670,59.88,19.99,16.62,18.25,5.642,24,2.156991418,3.6
Case#967,72070,0.036,35,81200,40,55000,55010,103,15000000,1877000,2526000,3735000,0.3544,175,3.54E-07,59410,1.127,1.367,0.2657,3806,95.6,0.4829,83950,34.3,15000000,4359000,3.941,1.145,0.9852,3835,119.2,80120,46.94,12.65,16.23,14.36,0.7107,24,0.493168681,3.6
Case#968,72070,0.036,35,81200,40,55000,55010,103,20000000,5579000,2330000,3517000,0.4392,41.49,4.39E-07,59410,1.127,1.367,0.1939,3939,98.96,0.4187,84210,38.5,20000000,6317000,5.077,1.603,0.9857,3970,121.5,80240,59.88,21.38,18.48,19.9,3.91,24,1.416349327,3.6
Case#969,72070,0.036,35,81200,40,55000,55010,103,25000000,6331000,2270000,3448000,0.4842,25.39,4.84E-07,59410,1.127,1.367,0.1537,3955,99.36,0.3795,84260,39.44,25000000,10750000,6.32,2.718,0.9859,3994,122.3,80260,62.14,22.69,19.29,20.94,5.747,24,1.600758534,3.6
Case#970,72070,0.036,35,81200,40,55000,55010,103,30000000,6686000,2238000,3412000,0.511,19.49,5.11E-07,59410,1.127,1.367,0.1298,3961,99.51,0.356,84280,39.88,30000000,15510000,7.573,3.916,0.9861,3995,122.6,80290,63.13,23.25,19.64,21.39,6.834,24,1.687957586,3.6
Case#971,72070,0.036,35,81200,40,55000,55010,104.5,15000000,1398000,2497000,3703000,0.3657,131.5,3.66E-07,59410,1.127,1.367,0.2581,3849,96.7,0.4778,84020,35.16,15000000,4927000,3.897,1.28,0.9853,3881,119.5,80130,45.15,9.99,15.04,12.34,1.091,24,0.363211224,3.6
Case#972,72070,0.036,35,81200,40,55000,55010,104.5,20000000,5134000,2327000,3513000,0.4391,41.63,4.39E-07,59410,1.127,1.367,0.1921,3939,98.95,0.417,84210,38.55,20000000,6766000,5.077,1.718,0.9857,3971,121.5,80240,58.3,19.75,17.03,18.35,4.078,24,1.303376491,3.6
Case#973,72070,0.036,35,81200,40,55000,55010,104.5,25000000,5868000,2269000,3447000,0.4867,24.3,4.87E-07,59410,1.127,1.367,0.1531,3956,99.39,0.3789,84260,39.46,25000000,11210000,6.319,2.834,0.9859,3994,122.3,80270,60.53,21.08,17.8,19.39,5.663,24,1.483316481,3.6
Case#974,72070,0.036,35,81200,40,55000,55010,104.5,30000000,6218000,2238000,3411000,0.5133,18.69,5.13E-07,59410,1.127,1.367,0.1295,3962,99.53,0.3557,84280,39.89,30000000,15980000,7.572,4.032,0.9861,3995,122.6,80290,61.53,21.64,18.14,19.84,6.738,24,1.569409389,3.6
Case#975,72070,0.036,35,81200,40,55000,55010,106,15000000,830900,2466000,3669000,0.3748,107.2,3.75E-07,59410,1.127,1.367,0.2507,3874,97.31,0.4717,84060,35.87,15000000,5582000,3.872,1.441,0.9854,3909,119.8,80150,43.03,7.166,13.82,10.13,1.314,24,0.214481156,3.6
Case#976,72070,0.036,35,81200,40,55000,55010,106,20000000,4661000,2324000,3510000,0.4426,40.14,4.43E-07,59410,1.127,1.367,0.1903,3941,98.99,0.4152,84210,38.6,20000000,7241000,5.075,1.838,0.9857,3972,121.6,80240,56.62,18.02,15.57,16.76,4.013,24,1.182694748,3.6
Case#977,72070,0.036,35,81200,40,55000,55010,106,25000000,5401000,2268000,3446000,0.4849,25.58,4.85E-07,59410,1.127,1.367,0.1525,3955,99.36,0.3784,84260,39.47,25000000,11680000,6.321,2.952,0.986,3994,122.3,80270,58.91,19.45,16.31,17.83,5.737,24,1.365613148,3.6
Case#978,72070,0.036,35,81200,40,55000,55010,106,30000000,5747000,2238000,3411000,0.5152,18.06,5.15E-07,59410,1.127,1.367,0.1292,3963,99.55,0.3554,84280,39.89,30000000,16440000,7.571,4.15,0.9861,3995,122.6,80290,59.92,20.03,16.65,18.28,6.574,24,1.450164017,3.6
Case#979,72070,0.036,35,81200,50,55000,55010,103,20000000,2825000,3035000,4288000,0.584,40.52,5.84E-07,59410,1.127,1.367,0.1939,3940,98.98,0.4186,83750,38.51,20000000,6342000,5.076,1.61,0.9857,3967,121.5,79780,59.94,21.43,18.52,19.94,5.177,24,0.717005076,3.6
Case#980,72070,0.036,35,81200,50,55000,55010,103,25000000,3524000,2992000,4243000,0.6471,23.97,6.47E-07,59410,1.127,1.367,0.1539,3957,99.4,0.3796,83800,39.45,25000000,10780000,6.318,2.725,0.9859,3992,122.3,79800,62.18,22.74,19.32,20.98,7.534,24,0.890573667,3.6
Case#981,72070,0.036,35,81200,50,55000,55010,103,30000000,3850000,2970000,4220000,0.6853,17.79,6.85E-07,59410,1.127,1.367,0.1301,3963,99.55,0.3562,83820,39.89,30000000,15540000,7.57,3.922,0.9861,3994,122.7,79820,63.17,23.29,19.67,21.43,8.952,24,0.971486248,3.6
Case#982,72070,0.036,35,81200,50,55000,55010,104.5,20000000,2376000,3031000,4284000,0.5781,43.39,5.78E-07,59410,1.127,1.367,0.1921,3937,98.91,0.4169,83750,38.56,20000000,6788000,5.08,1.724,0.9857,3969,121.6,79780,58.36,19.8,17.06,18.4,5.367,24,0.603505207,3.6
Case#983,72070,0.036,35,81200,50,55000,55010,104.5,25000000,3059000,2991000,4241000,0.6452,25.18,6.45E-07,59410,1.127,1.367,0.1533,3956,99.37,0.3791,83800,39.46,25000000,11240000,6.32,2.841,0.9859,3992,122.3,79800,60.58,21.12,17.83,19.43,7.336,24,0.773255814,3.6
Case#984,72070,0.036,35,81200,50,55000,55010,104.5,30000000,3381000,2969000,4219000,0.6831,19.22,6.83E-07,59410,1.127,1.367,0.1298,3962,99.52,0.356,83820,39.89,30000000,16000000,7.573,4.04,0.9861,3994,122.7,79820,61.58,21.69,18.17,19.88,8.738,24,0.85335689,3.6
Case#985,72070,0.036,35,81200,50,55000,55010,106,20000000,1901000,3029000,4282000,0.583,42.04,5.83E-07,59410,1.127,1.367,0.1904,3939,98.94,0.4152,83750,38.61,20000000,7260000,5.078,1.843,0.9857,3970,121.6,79780,56.68,18.07,15.6,16.81,5.19,24,0.482609799,3.6
Case#986,72070,0.036,35,81200,50,55000,55010,106,25000000,2591000,2989000,4240000,0.6425,26.79,6.43E-07,59410,1.127,1.367,0.1528,3954,99.33,0.3786,83800,39.47,25000000,11700000,6.323,2.959,0.9859,3992,122.3,79800,58.96,19.49,16.34,17.87,7.408,24,0.655285787,3.6
Case#987,72070,0.036,35,81200,50,55000,55010,106,30000000,2910000,2969000,4219000,0.6861,18.66,6.86E-07,59410,1.127,1.367,0.1295,3962,99.53,0.3557,83820,39.89,30000000,16470000,7.572,4.156,0.9861,3994,122.7,79820,59.96,20.07,16.68,18.32,8.429,24,0.734477537,3.6
Case#988,72070,0.036,35,101000,30,55000,55010,103,10000000,2466000,1307000,2211000,0.105,1119,1.05E-07,59410,1.401,1.7,0.3598,2862,71.9,0.4911,103400,33.3,10000000,3249000,3.494,1.135,0.9835,2890,113.7,100500,37.78,4.48,10.71,7.147,0,24,0.86163522,3.6
Case#989,72070,0.036,35,101000,30,55000,55010,103,15000000,5485000,1595000,2632000,0.2041,234.1,2.04E-07,59410,1.401,1.7,0.3066,3747,94.12,0.478,104200,35.82,15000000,4257000,4.003,1.136,0.9847,3770,117.2,100400,46.82,11,14.24,12.55,0.4717,24,1.463837737,3.6
Case#990,72070,0.036,35,101000,30,55000,55010,103,20000000,9833000,1376000,2322000,0.2509,62.71,2.51E-07,59410,1.401,1.7,0.2376,3918,98.42,0.4173,104500,39.32,20000000,5578000,5.105,1.424,0.9853,3948,120.2,100500,58.99,19.67,17.21,18.41,2.92,24,2.509698826,3.6
Case#991,72070,0.036,35,101000,30,55000,55010,103,25000000,11260000,1255000,2154000,0.2851,30.11,2.85E-07,59410,1.401,1.7,0.1825,3951,99.24,0.3637,104600,40.56,25000000,9546000,6.328,2.416,0.9857,3981,121.7,100600,62.33,21.78,18.69,20.2,4.612,24,2.849911415,3.6
Case#992,72070,0.036,35,101000,30,55000,55010,103,30000000,11850000,1199000,2074000,0.302,21.35,3.02E-07,59410,1.401,1.7,0.1538,3959,99.46,0.3355,104600,41.03,30000000,14130000,7.577,3.57,0.9858,3999,122.2,100600,63.57,22.53,19.24,20.84,5.44,24,2.993180096,3.6
Case#993,72070,0.036,35,101000,30,55000,55010,104.5,10000000,1522000,1408000,2348000,0.1252,915.3,1.25E-07,59410,1.401,1.7,0.3501,3065,77.01,0.4902,103600,33.45,10000000,3858000,3.262,1.258,0.9838,3083,114.5,100500,34.79,1.333,9.95,4.287,0,24,0.496574225,3.6
Case#994,72070,0.036,35,101000,30,55000,55010,104.5,15000000,5023000,1556000,2563000,0.2053,192,2.05E-07,59410,1.401,1.7,0.2978,3789,95.18,0.4717,104300,36.57,15000000,4813000,3.959,1.27,0.9848,3826,117.7,100400,45.36,8.795,13.21,10.85,0.9316,24,1.325679599,3.6
Case#995,72070,0.036,35,101000,30,55000,55010,104.5,20000000,9371000,1364000,2306000,0.2497,62.99,2.50E-07,59410,1.401,1.7,0.2334,3918,98.42,0.4132,104500,39.44,20000000,6070000,5.105,1.549,0.9853,3952,120.3,100500,57.61,18.17,15.85,16.98,3.075,24,2.391781521,3.6
Case#996,72070,0.036,35,101000,30,55000,55010,104.5,25000000,10710000,1252000,2150000,0.2842,31.42,2.84E-07,59410,1.401,1.7,0.1812,3949,99.21,0.3625,104600,40.58,25000000,10110000,6.33,2.559,0.9857,3981,121.7,100600,60.77,20.19,17.22,18.66,4.574,24,2.712079007,3.6
Case#997,72070,0.036,35,101000,30,55000,55010,104.5,30000000,11280000,1197000,2071000,0.3007,22.88,3.01E-07,59410,1.401,1.7,0.1533,3958,99.43,0.3349,104600,41.04,30000000,14710000,7.58,3.716,0.9858,3999,122.3,100600,61.98,20.94,17.75,19.3,5.385,24,2.849924204,3.6
Case#998,72070,0.036,35,101000,30,55000,55010,106,15000000,4475000,1523000,2519000,0.2133,155.3,2.13E-07,59410,1.401,1.7,0.289,3825,96.1,0.4645,104300,37.2,15000000,5455000,3.921,1.426,0.9849,3865,118.2,100400,43.65,6.451,12.16,9.005,1.124,24,1.169934641,3.6
Case#999,72070,0.036,35,101000,30,55000,55010,106,20000000,8878000,1356000,2294000,0.2539,58.47,2.54E-07,59410,1.401,1.7,0.2295,3922,98.53,0.4095,104500,39.54,20000000,6588000,5.099,1.68,0.9854,3955,120.5,100500,56.14,16.6,14.47,15.51,3.069,24,2.263640999,3.6
Case#1000,72070,0.036,35,101000,30,55000,55010,106,25000000,10150000,1249000,2146000,0.2844,31.55,2.84E-07,59410,1.401,1.7,0.1801,3949,99.21,0.3614,104600,40.6,25000000,10670000,6.33,2.702,0.9857,3982,121.7,100600,59.18,18.58,15.74,17.12,4.59,24,2.570270955,3.6
Case#1001,72070,0.036,35,101000,30,55000,55010,106,30000000,10700000,1195000,2069000,0.3006,23.27,3.01E-07,59410,1.401,1.7,0.1527,3958,99.42,0.3344,104600,41.05,30000000,15280000,7.581,3.862,0.9858,3999,122.3,100600,60.38,19.33,16.26,17.75,5.376,24,2.703385548,3.6
Case#1002,72070,0.036,35,101000,40,55000,55010,103,15000000,2295000,2446000,3644000,0.2866,247.2,2.87E-07,59410,1.401,1.7,0.3065,3734,93.79,0.4778,103700,35.87,15000000,4250000,4.018,1.138,0.9847,3767,117.3,99960,46.95,11.08,14.28,12.61,0.0859,24,0.614622389,3.6
Case#1003,72070,0.036,35,101000,40,55000,55010,103,20000000,6527000,2271000,3448000,0.3665,70.83,3.67E-07,59410,1.401,1.7,0.2373,3910,98.22,0.4168,104000,39.34,20000000,5598000,5.115,1.432,0.9853,3944,120.3,100100,59.07,19.73,17.25,18.46,3.243,24,1.669309463,3.6
Case#1004,72070,0.036,35,101000,40,55000,55010,103,25000000,7859000,2180000,3342000,0.4291,33.86,4.29E-07,59410,1.401,1.7,0.1826,3947,99.15,0.3637,104100,40.56,25000000,9575000,6.334,2.426,0.9857,3979,121.7,100100,62.37,21.81,18.72,20.23,5.474,24,1.991132506,3.6
Case#1005,72070,0.036,35,101000,40,55000,55010,103,30000000,8401000,2137000,3292000,0.4595,24.35,4.60E-07,59410,1.401,1.7,0.154,3956,99.39,0.3357,104100,41.03,30000000,14160000,7.583,3.58,0.9858,3998,122.3,100100,63.6,22.57,19.26,20.87,6.705,24,2.123609707,3.6
Case#1006,72070,0.036,35,101000,40,55000,55010,104.5,15000000,1823000,2418000,3613000,0.298,197.2,2.98E-07,59410,1.401,1.7,0.2978,3784,95.05,0.4714,103800,36.61,15000000,4802000,3.964,1.269,0.9848,3820,117.7,99980,45.5,8.888,13.25,10.92,0.4761,24,0.481765328,3.6
Case#1007,72070,0.036,35,101000,40,55000,55010,104.5,20000000,6056000,2263000,3439000,0.3718,66.51,3.72E-07,59410,1.401,1.7,0.2332,3914,98.33,0.4128,104000,39.45,20000000,6088000,5.11,1.555,0.9853,3948,120.4,100100,57.68,18.22,15.89,17.03,3.364,24,1.547266224,3.6
Case#1008,72070,0.036,35,101000,40,55000,55010,104.5,25000000,7303000,2178000,3340000,0.4312,33.08,4.31E-07,59410,1.401,1.7,0.1814,3948,99.17,0.3625,104100,40.58,25000000,10130000,6.333,2.566,0.9857,3979,121.7,100100,60.8,20.22,17.24,18.69,5.464,24,1.849797366,3.6
Case#1009,72070,0.036,35,101000,40,55000,55010,104.5,30000000,7829000,2137000,3291000,0.4608,23.92,4.61E-07,59410,1.401,1.7,0.1535,3957,99.4,0.3351,104100,41.04,30000000,14730000,7.582,3.723,0.9858,3998,122.3,100100,62.01,20.97,17.77,19.33,6.669,24,1.97851908,3.6
Case#1010,72070,0.036,35,101000,40,55000,55010,106,15000000,1259000,2391000,3583000,0.3096,162.3,3.10E-07,59410,1.401,1.7,0.289,3818,95.92,0.4642,103800,37.23,15000000,5441000,3.928,1.425,0.9849,3859,118.2,99990,43.78,6.55,12.19,9.081,0.7181,24,0.329753798,3.6
Case#1011,72070,0.036,35,101000,40,55000,55010,106,20000000,5556000,2257000,3431000,0.3775,62.57,3.78E-07,59410,1.401,1.7,0.2294,3918,98.43,0.4092,104000,39.55,20000000,6604000,5.104,1.685,0.9854,3951,120.5,100100,56.21,16.65,14.51,15.56,3.351,24,1.418070444,3.6
Case#1012,72070,0.036,35,101000,40,55000,55010,106,25000000,6743000,2176000,3338000,0.4339,32.22,4.34E-07,59410,1.401,1.7,0.1802,3949,99.19,0.3614,104100,40.6,25000000,10690000,6.331,2.708,0.9857,3979,121.8,100100,59.22,18.62,15.77,17.15,5.351,24,1.707520891,3.6
Case#1013,72070,0.036,35,101000,40,55000,55010,106,30000000,7254000,2136000,3291000,0.4629,23.38,4.63E-07,59410,1.401,1.7,0.1529,3957,99.41,0.3345,104100,41.05,30000000,15310000,7.581,3.868,0.9858,3997,122.3,100100,60.41,19.36,16.28,17.78,6.525,24,1.833206975,3.6
Case#1014,72070,0.036,35,101000,50,55000,55010,103,20000000,3174000,3127000,4382000,0.5171,73.83,5.17E-07,59410,1.401,1.7,0.2369,3907,98.15,0.4162,103400,39.36,20000000,5624000,5.119,1.439,0.9853,3938,120.3,99510,59.16,19.8,17.3,18.52,4.127,24,0.812388021,3.6
Case#1015,72070,0.036,35,101000,50,55000,55010,103,25000000,4410000,3065000,4319000,0.6056,37.43,6.06E-07,59410,1.401,1.7,0.1827,3943,99.06,0.3638,103500,40.56,25000000,9612000,6.34,2.437,0.9857,3976,121.7,99550,62.42,21.86,18.75,20.26,7.395,24,1.118437738,3.6
Case#1016,72070,0.036,35,101000,50,55000,55010,103,30000000,4907000,3038000,4291000,0.6591,24.91,6.59E-07,59410,1.401,1.7,0.1543,3956,99.37,0.3358,103600,41.03,30000000,14200000,7.584,3.59,0.9858,3996,122.3,99570,63.64,22.61,19.29,20.91,8.731,24,1.240394338,3.6
Case#1017,72070,0.036,35,101000,50,55000,55010,104.5,20000000,2694000,3121000,4377000,0.5219,71.57,5.22E-07,59410,1.401,1.7,0.2329,3909,98.2,0.4123,103500,39.47,20000000,6110000,5.116,1.563,0.9853,3942,120.4,99510,57.76,18.29,15.93,17.08,4.235,24,0.689178818,3.6
Case#1018,72070,0.036,35,101000,50,55000,55010,104.5,25000000,3853000,3064000,4318000,0.6121,35.79,6.12E-07,59410,1.401,1.7,0.1815,3945,99.1,0.3626,103500,40.58,25000000,10160000,6.337,2.577,0.9857,3976,121.8,99560,60.85,20.27,17.27,18.73,7.03,24,0.976679341,3.6
Case#1019,72070,0.036,35,101000,50,55000,55010,104.5,30000000,4334000,3037000,4290000,0.6579,25.83,6.58E-07,59410,1.401,1.7,0.1537,3955,99.35,0.3353,103600,41.04,30000000,14770000,7.585,3.734,0.9858,3996,122.3,99570,62.06,21.01,17.8,19.36,8.716,24,1.095828066,3.6
Case#1020,72070,0.036,35,101000,50,55000,55010,106,20000000,2187000,3117000,4372000,0.5298,67.39,5.30E-07,59410,1.401,1.7,0.2292,3913,98.31,0.4088,103500,39.57,20000000,6623000,5.111,1.693,0.9854,3946,120.5,99520,56.29,16.72,14.55,15.61,4.318,24,0.55890621,3.6
Case#1021,72070,0.036,35,101000,50,55000,55010,106,25000000,3290000,3063000,4317000,0.6156,34.83,6.16E-07,59410,1.401,1.7,0.1804,3946,99.12,0.3615,103500,40.6,25000000,10720000,6.336,2.717,0.9857,3977,121.8,99560,59.27,18.66,15.8,17.19,6.973,24,0.833755702,3.6
Case#1022,72070,0.036,35,101000,50,55000,55010,106,30000000,3758000,3037000,4290000,0.6606,25.22,6.61E-07,59410,1.401,1.7,0.1531,3956,99.37,0.3347,103600,41.05,30000000,15340000,7.584,3.877,0.9858,3995,122.3,99570,60.46,19.41,16.31,17.81,8.618,24,0.949949444,3.6
Case#1023,72070,0.036,50,41600,30,55000,55010,103,10000000,2826000,1529000,2504000,0.1807,1462,1.81E-07,59410,0.5772,0.7002,0.2056,2519,63.28,0.4857,43560,35.24,10000000,3088000,3.97,1.226,0.9857,2535,121.2,41030,50.07,14.83,18.21,16.46,0.0736,24,1.121873759,3.6
Case#1024,72070,0.036,50,41600,30,55000,55010,103,15000000,3270000,1857000,2936000,0.3045,852.9,3.05E-07,59410,0.5772,0.7002,0.1358,3128,78.57,0.4843,44030,35.22,15000000,6477000,4.796,2.071,0.9861,3152,122.6,40880,52.47,17.25,19.59,18.39,3.041,24,1.045396419,3.6
Case#1025,72070,0.036,50,41600,30,55000,55010,103,20000000,3442000,2002000,3118000,0.3814,579.8,3.81E-07,59410,0.5772,0.7002,0.1047,3401,85.43,0.4837,44230,35.21,20000000,10790000,5.881,3.171,0.9862,3430,123,40800,53.31,18.1,19.98,19.03,4.876,24,1.012055278,3.6
Case#1026,72070,0.036,50,41600,30,55000,55010,103,25000000,3543000,2093000,3230000,0.4395,407.9,4.40E-07,59410,0.5772,0.7002,0.08514,3573,89.75,0.4833,44360,35.21,25000000,15360000,6.997,4.3,0.9863,3601,123.2,40760,53.78,18.58,20.17,19.36,6.196,24,0.991603694,3.6
Case#1027,72070,0.036,50,41600,30,55000,55010,103,30000000,3612000,2155000,3306000,0.4857,288.7,4.86E-07,59410,0.5772,0.7002,0.07157,3692,92.75,0.483,44450,35.2,30000000,20070000,8.126,5.437,0.9863,3720,123.3,40730,54.1,18.9,20.28,19.58,7.156,24,0.978331528,3.6
Case#1028,72070,0.036,50,41600,30,55000,55010,104.5,10000000,2296000,1557000,2538000,0.19,1411,1.90E-07,59410,0.5772,0.7002,0.2007,2570,64.56,0.4856,43600,35.24,10000000,3532000,3.891,1.374,0.9858,2575,121.3,41030,46.31,11.07,16.83,13.75,0,24,0.893385214,3.6
Case#1029,72070,0.036,50,41600,30,55000,55010,104.5,15000000,2705000,1864000,2942000,0.3095,839.3,3.10E-07,59410,0.5772,0.7002,0.135,3141,78.92,0.4843,44040,35.22,15000000,7017000,4.775,2.234,0.9861,3159,122.6,40880,48.62,13.4,18.1,15.63,2.583,24,0.861190704,3.6
Case#1030,72070,0.036,50,41600,30,55000,55010,104.5,20000000,2872000,2005000,3121000,0.3844,574.2,3.84E-07,59410,0.5772,0.7002,0.1043,3407,85.58,0.4837,44240,35.21,20000000,11340000,5.871,3.328,0.9862,3433,123,40810,49.49,14.28,18.49,16.29,4.519,24,0.842970355,3.6
Case#1031,72070,0.036,50,41600,30,55000,55010,104.5,25000000,2970000,2093000,3231000,0.4401,407.3,4.40E-07,59410,0.5772,0.7002,0.08493,3574,89.77,0.4833,44360,35.21,25000000,15920000,6.996,4.455,0.9863,3603,123.2,40760,49.98,14.77,18.67,16.65,6.017,24,0.831001679,3.6
Case#1032,72070,0.036,50,41600,30,55000,55010,104.5,30000000,3037000,2155000,3307000,0.4864,288.2,4.86E-07,59410,0.5772,0.7002,0.07142,3693,92.76,0.483,44450,35.2,30000000,20630000,8.124,5.588,0.9863,3721,123.3,40730,50.3,15.1,18.78,16.87,6.973,24,0.82236664,3.6
Case#1033,72070,0.036,50,41600,30,55000,55010,106,10000000,1697000,1575000,2563000,0.1961,1377,1.96E-07,59410,0.5772,0.7002,0.1968,2604,65.41,0.4855,43630,35.24,10000000,4050000,3.84,1.555,0.9858,2613,121.4,41020,42.05,6.816,15.43,10.54,0,24,0.651689708,3.6
Case#1034,72070,0.036,50,41600,30,55000,55010,106,15000000,2075000,1868000,2947000,0.3116,832.4,3.12E-07,59410,0.5772,0.7002,0.1341,3148,79.09,0.4843,44040,35.22,15000000,7621000,4.764,2.421,0.9861,3167,122.6,40880,44.31,9.087,16.61,12.47,2.456,24,0.659148666,3.6
Case#1035,72070,0.036,50,41600,30,55000,55010,106,20000000,2235000,2006000,3123000,0.3857,571.3,3.86E-07,59410,0.5772,0.7002,0.104,3409,85.65,0.4837,44240,35.21,20000000,11950000,5.866,3.506,0.9862,3436,123,40800,45.2,9.987,16.99,13.18,4.361,24,0.655617483,3.6
Case#1036,72070,0.036,50,41600,30,55000,55010,106,25000000,2331000,2094000,3232000,0.4411,405.6,4.41E-07,59410,0.5772,0.7002,0.0847,3575,89.81,0.4833,44360,35.21,25000000,16540000,6.993,4.627,0.9863,3605,123.2,40760,45.71,10.5,17.17,13.57,5.844,24,0.652027972,3.6
Case#1037,72070,0.036,50,41600,30,55000,55010,106,30000000,2396000,2156000,3308000,0.4874,287.1,4.87E-07,59410,0.5772,0.7002,0.07125,3694,92.79,0.483,44450,35.2,30000000,21250000,8.122,5.754,0.9863,3723,123.3,40730,46.05,10.85,17.28,13.82,6.797,24,0.648619383,3.6
Case#1038,72070,0.036,50,41600,40,55000,55010,103,10000000,1437000,1909000,2986000,0.2211,1453,2.21E-07,59410,0.5772,0.7002,0.2055,2528,63.5,0.4858,43380,35.24,10000000,3093000,3.956,1.223,0.9857,2536,121.2,40850,50.09,14.84,18.24,16.48,0,24,0.568433544,3.6
Case#1039,72070,0.036,50,41600,40,55000,55010,103,15000000,1837000,2240000,3417000,0.3646,849.5,3.65E-07,59410,0.5772,0.7002,0.136,3131,78.66,0.4844,43820,35.23,15000000,6490000,4.79,2.073,0.9861,3151,122.6,40670,52.48,17.26,19.62,18.41,2.482,24,0.58671351,3.6
Case#1040,72070,0.036,50,41600,40,55000,55010,103,20000000,1990000,2385000,3567000,0.451,580.9,4.51E-07,59410,0.5772,0.7002,0.1049,3400,85.41,0.4838,44020,35.22,20000000,10800000,5.883,3.176,0.9862,3428,123,40590,53.33,18.11,20.01,19.05,4.749,24,0.585294118,3.6
Case#1041,72070,0.036,50,41600,40,55000,55010,103,25000000,2079000,2477000,3674000,0.5177,408.7,5.18E-07,59410,0.5772,0.7002,0.08537,3572,89.73,0.4834,44140,35.21,25000000,15380000,6.999,4.305,0.9863,3600,123.2,40540,53.81,18.59,20.2,19.38,6.243,24,0.582026876,3.6
Case#1042,72070,0.036,50,41600,40,55000,55010,103,30000000,2140000,2540000,3747000,0.5708,289.3,5.71E-07,59410,0.5772,0.7002,0.07177,3691,92.73,0.4831,44220,35.21,30000000,20090000,8.127,5.441,0.9863,3719,123.3,40500,54.12,18.91,20.31,19.6,7.321,24,0.579788675,3.6
